,Unit,Codes
1,NA,NA
2,BAFAun/00,NA
42,BAFAunp/00,NA
82,BGdhz/Gg,NA
117,BGdwz/110,NA
121,BGdwz/111,NA
125,BGdwz/Gg,NA
160,BGmmx/Gg,NA
195,BGmmy/Gg,NA
230,BGmmz/110,NA
234,BGmmz/111,NA
238,BGmmz/Gg,NA
273,BGwmz/110,NA
277,BGwmz/111,NA
281,BGwmz/Gg,NA
316,BGxh1/05,NA
326,BGxh1/06,NA
332,BGxh1/07,NA
338,BGxh1/Gg,NA
360,BGxh2/01,NA
369,BGxh2/02,NA
376,BGxh2/03,NA
382,BGxh2/04,NA
388,BGxh2/05,NA
398,BGxh2/06,NA
404,BGxh2/07,NA
410,BGxh2/08,NA
416,BGxh2/Gg,NA
425,BGxh2/Gs,NA
441,BGxh3/110,NA
445,BGxh3/111,NA
449,BGxh3/112,NA
451,BGxh3/113,NA
453,BGxh3/Gg,NA
462,BGxhy/110,NA
466,BGxhy/111,NA
470,BGxhy/Gg,NA
505,BGxhz/110,NA
509,BGxhz/111,NA
513,BGxhz/Gg,NA
548,BGxw1/01,NA
562,BGxw1/02,NA
570,BGxw1/03,NA
577,BGxw1/04,NA
590,BGxw1/05,NA
593,BGxw1/06,NA
599,BGxw1/07,NA
603,BGxw1/08,NA
611,BGxw1/09,NA
616,BGxw1/Gg,NA
632,BGxw2/101,NA
637,BGxw2/110,NA
641,BGxw2/111,NA
645,BGxw2/113,NA
647,BGxw2/114,NA
650,BGxw2/115,NA
654,BGxw2/Gg,NA
664,BSJPap/a,NA
671,BSJPap/b,NA
679,BSJPap/c,NA
686,BSJPap/d,NA
692,BSJPap/e,NA
698,BSJPap/f,NA
702,BSJPap/g,NA
706,BSJPap/h,NA
711,BSJPku/a,NA
717,BSJPku/b,NA
725,BSJPku/c,NA
731,BSJPku/d,NA
737,BSJPku/e,NA
743,BSJPku/f,NA
747,BSJPku/g,NA
752,BSJPku/h,NA
756,BSJPpa/a,NA
763,BSJPpa/b,NA
770,BSJPpa/c,NA
776,BSJPpa/d,NA
782,BSJPpa/e,NA
788,BSJPpa/f,NA
792,BSJPpa/g,NA
796,BSJPpa/h,NA
800,BWBScm/a,NA
804,BWBScm/b,NA
808,BWBScm/c,NA
813,BWBScm/d,NA
818,BWBScm/e,NA
822,BWBScm/f,NA
826,BWBScm/g,NA
832,BWBScm/h,NA
836,BWBScm/i,NA
840,BWBScm/j,NA
844,BWBScm/k,NA
848,BWBScm/l,NA
850,BWBSdk/101,NA
855,BWBSdk/102,NA
860,BWBSdk/103,WA
863,BWBSdk/104,CA
871,BWBSdk/110,Fh
873,BWBSdk/110,NA
874,BWBSdk/111,Fm
876,BWBSdk/112,Fm
878,BWBSdk/Gb,NA
882,BWBSdk/Gg,NA
885,BWBSdm/a,NA
889,BWBSdm/b,NA
893,BWBSdm/c,NA
898,BWBSdm/d,NA
903,BWBSdm/e,NA
906,BWBSdm/f,NA
910,BWBSdm/g,NA
916,BWBSdm/h,NA
920,BWBSdm/i,NA
924,BWBSdm/j,NA
928,BWBSdm/k,NA
932,BWBSdm/l,NA
934,BWBSlb/a,NA
939,BWBSlb/b,NA
943,BWBSlb/c,NA
950,BWBSlb/d,NA
955,BWBSlb/e,NA
959,BWBSlb/f,NA
965,BWBSlb/g,NA
969,BWBSlb/h,NA
973,BWBSlb/i,NA
975,BWBSlb/j,NA
978,BWBSlf/a,NA
982,BWBSlf/b,NA
987,BWBSlf/c,NA
991,BWBSlf/d,NA
997,BWBSlf/e,NA
1004,BWBSlf/f,NA
1007,BWBSlf/g,NA
1013,BWBSlf/h,NA
1017,BWBSlf/i,NA
1023,BWBSlf/j,NA
1029,BWBSlf/k,NA
1033,BWBSlf/l,NA
1037,BWBSlf/m,NA
1042,BWBSlf/n,NA
1044,BWBSmk/101,NA
1048,BWBSmk/102,NA
1053,BWBSmk/103,WA
1056,BWBSmk/104,CA
1064,BWBSmk/110,Fh
1067,BWBSmk/110,NA
1068,BWBSmk/111,Fm
1072,BWBSmk/112,Fm
1076,BWBSmk/Gg,NA
1079,BWBSmw/101,NA
1084,BWBSmw/102,NA
1089,BWBSmw/103,WA
1091,BWBSmw/104,CA
1099,BWBSmw/110,CA
1101,BWBSmw/111,Fh
1104,BWBSmw/111,NA
1105,BWBSmw/112,Fm
1109,BWBSmw/Gg,NA
1112,BWBSnm/a,NA
1116,BWBSnm/b,NA
1120,BWBSnm/c,NA
1125,BWBSnm/d,NA
1129,BWBSnm/e,NA
1132,BWBSnm/f,NA
1136,BWBSnm/g,NA
1142,BWBSnm/h,NA
1147,BWBSnm/i,NA
1151,BWBSnm/j,NA
1153,BWBSnm/k,NA
1157,BWBSnm/l,NA
1159,BWBSpp/00,NA
1199,BWBSpp/a,NA
1203,BWBSpp/b,NA
1207,BWBSpp/c,NA
1212,BWBSpp/d,NA
1217,BWBSpp/e,NA
1221,BWBSpp/f,NA
1225,BWBSpp/g,NA
1231,BWBSpp/h,NA
1235,BWBSpp/i,NA
1239,BWBSpp/j,NA
1243,BWBSpp/k,NA
1247,BWBSpp/l,NA
1249,BWBSuf/a,NA
1254,BWBSuf/b,NA
1258,BWBSuf/c,NA
1264,BWBSuf/d,NA
1269,BWBSuf/e,NA
1275,BWBSuf/f,NA
1278,BWBSuf/g,NA
1284,BWBSuf/h,NA
1290,BWBSuf/i,NA
1296,BWBSuf/j,NA
1301,BWBSuf/k,NA
1304,BWBSuf/l,NA
1308,BWBSuf/m,NA
1313,BWBSup/a,NA
1318,BWBSup/b,NA
1322,BWBSup/c,NA
1329,BWBSup/d,NA
1334,BWBSup/e,NA
1338,BWBSup/f,NA
1344,BWBSup/g,NA
1348,BWBSup/h,NA
1352,BWBSup/i,NA
1354,BWBSup/j,NA
1357,BWBSvk/d,NA
1372,BWBSvk/h,NA
1384,BWBSvk/m,NA
1394,BWBSwk1/101,NA
1398,BWBSwk1/102,NA
1403,BWBSwk1/103,WA
1406,BWBSwk1/104,CA
1412,BWBSwk1/110,Fh
1417,BWBSwk1/111,NA
1421,BWBSwk2/101,NA
1425,BWBSwk2/102,NA
1431,BWBSwk2/103,WA
1434,BWBSwk2/104,CA
1442,BWBSwk2/110,NA
1445,BWBSwk2/111,Fh
1448,BWBSwk2/Gg,NA
1451,BWBSwk3/101,NA
1454,BWBSwk3/102,NA
1459,BWBSwk3/103,CA
1465,BWBSwk3/110,NA
1469,BWBSwk3/111,NA
1471,CCHun/00,NA
1511,CCHun/101,NA
1517,CCHun/110,NA
1521,CCHun/111,NA
1525,CCHun/Gs,NA
1533,CDFdmz/101,NA
1539,CDFdmz/102,NA
1547,CDFdmz/110,NA
1551,CDFdmz/111,NA
1555,CDFmm/01,NA
1564,CDFmm/02,NA
1570,CDFmm/03,NA
1574,CDFmm/04,NA
1580,CDFmm/05,NA
1586,CDFmm/06,NA
1590,CDFmm/07,Fh
1594,CDFmm/08,Fm
1598,CDFmm/09,Fl
1602,CDFmm/10,NA
1604,CDFmm/11,NA
1607,CDFmm/12,FWT
1609,CDFmm/13,FWT
1611,CDFmm/14,FWT
1613,CDFxmz/101,NA
1619,CDFxmz/102,NA
1627,CDFxmz/110,NA
1635,CMAun/00,NA
1675,CMAunp/00,NA
1715,CMAus/00,NA
1755,CMAwh/00,NA
1795,CMXdmy/101,NA
1801,CMXdmy/102,NA
1809,CMXdmy/110,NA
1817,CMXdmz/101,NA
1823,CMXdmz/102,NA
1827,CMXdmz/103,NA
1831,CMXdmz/110,NA
1839,CMXwmz/101,NA
1845,CMXwmz/102,NA
1853,CMXwmz/110,NA
1861,CRFdhz/00,NA
1901,CVGun/00,NA
1941,CVGun/110,NA
1945,CVGun/111,NA
1949,CVGun/Gg,NA
1963,CWFwmz/101,NA
1969,CWFwmz/102,NA
1973,CWFwmz/103,NA
1977,CWFwmz/110,NA
1981,CWFwmz/111,NA
1985,CWFwsz/101,NA
1991,CWFwsz/102,NA
1995,CWFwsz/103,NA
1999,CWFwsz/110,NA
2007,CWHdm/01,NA
2013,CWHdm/02,NA
2016,CWHdm/03,NA
2022,CWHdm/04,NA
2026,CWHdm/05,NA
2030,CWHdm/06,NA
2036,CWHdm/07,NA
2040,CWHdm/08,Fh
2044,CWHdm/09,Fm
2048,CWHdm/10,Fl
2052,CWHdm/11,NA
2054,CWHdm/12,NA
2057,CWHdm/13,FWT
2059,CWHdm/14,FWT
2061,CWHdm/15,FWT
2063,CWHdmx/101,NA
2069,CWHdmx/102,NA
2077,CWHdmx/110,NA
2081,CWHdmx/111,NA
2085,CWHdmz/101,NA
2091,CWHdmz/102,NA
2099,CWHdmz/110,NA
2103,CWHdmz/111,NA
2107,CWHds1/01,NA
2113,CWHds1/02,NA
2116,CWHds1/03,NA
2122,CWHds1/04,NA
2126,CWHds1/05,NA
2130,CWHds1/06,NA
2136,CWHds1/07,NA
2140,CWHds1/08,Fh
2144,CWHds1/09,Fm
2148,CWHds1/10,Fl
2152,CWHds1/11,NA
2154,CWHds1/12,NA
2157,CWHds2/01,NA
2163,CWHds2/02,NA
2166,CWHds2/03,NA
2172,CWHds2/04,NA
2176,CWHds2/05,NA
2180,CWHds2/06,NA
2186,CWHds2/07,NA
2190,CWHds2/08,Fh
2194,CWHds2/09,Fm
2198,CWHds2/10,Fl
2202,CWHds2/11,NA
2204,CWHds2/12,NA
2207,CWHdsz/101,NA
2213,CWHdsz/102,NA
2221,CWHdsz/110,NA
2229,CWHmhz/101,NA
2235,CWHmhz/102,NA
2239,CWHmhz/103,NA
2243,CWHmhz/110,NA
2251,CWHmm1/01,NA
2257,CWHmm1/02,NA
2260,CWHmm1/03,NA
2266,CWHmm1/04,NA
2270,CWHmm1/05,NA
2274,CWHmm1/06,NA
2280,CWHmm1/07,NA
2284,CWHmm1/08,Fh
2288,CWHmm1/09,Fm
2292,CWHmm1/10,Fl
2296,CWHmm1/11,NA
2298,CWHmm1/12,NA
2301,CWHmm2/01,NA
2307,CWHmm2/02,NA
2310,CWHmm2/03,NA
2316,CWHmm2/04,NA
2320,CWHmm2/05,NA
2324,CWHmm2/06,NA
2327,CWHmm2/07,NA
2330,CWHmm2/08,NA
2334,CWHmm2/09,NA
2336,CWHmm2/10,NA
2339,CWHms1/01,NA
2345,CWHms1/02,NA
2348,CWHms1/03,NA
2354,CWHms1/04,NA
2358,CWHms1/05,NA
2364,CWHms1/06,NA
2368,CWHms1/07,Fh
2372,CWHms1/08,Fm
2376,CWHms1/09,Fl
2380,CWHms1/10,NA
2382,CWHms1/11,NA
2385,CWHms2/01,NA
2391,CWHms2/02,NA
2394,CWHms2/03,NA
2400,CWHms2/04,NA
2404,CWHms2/05,NA
2410,CWHms2/06,NA
2414,CWHms2/07,Fh
2418,CWHms2/08,Fm
2422,CWHms2/09,Fl
2426,CWHms2/10,NA
2428,CWHms2/11,NA
2431,CWHmsy/101,NA
2437,CWHmsy/102,NA
2441,CWHmsy/103,NA
2445,CWHmsy/110,NA
2449,CWHmsy/111,NA
2453,CWHmsz/101,NA
2459,CWHmsz/102,NA
2467,CWHmsz/110,NA
2475,CWHvh1/01,NA
2481,CWHvh1/02,NA
2484,CWHvh1/03,NA
2490,CWHvh1/04,NA
2493,CWHvh1/05,NA
2497,CWHvh1/06,NA
2501,CWHvh1/07,NA
2505,CWHvh1/08,Fh
2506,CWHvh1/09,Fm
2507,CWHvh1/10,Fl
2508,CWHvh1/11,NA
2514,CWHvh1/12,NA
2518,CWHvh1/13,NA
2524,CWHvh1/14,SS
2530,CWHvh1/15,SS
2536,CWHvh1/16,SS
2542,CWHvh1/17,SS
2544,CWHvh1/18,SS
2548,CWHvh2/01,NA
2554,CWHvh2/02,NA
2557,CWHvh2/03,NA
2563,CWHvh2/04,NA
2566,CWHvh2/05,NA
2570,CWHvh2/06,NA
2574,CWHvh2/07,NA
2580,CWHvh2/08,Fh
2588,CWHvh2/09,Fm
2594,CWHvh2/10,Fl
2600,CWHvh2/11,NA
2606,CWHvh2/12,NA
2610,CWHvh2/13,NA
2616,CWHvh2/14,SS
2628,CWHvh2/15,SS
2640,CWHvh2/16,SS
2652,CWHvh2/17,SS
2658,CWHvh2/18,SS
2664,CWHvh2/19,SS
2670,CWHvh3/101,NA
2678,CWHvh3/102,NA
2684,CWHvh3/103,SS
2693,CWHvh3/104,SS
2699,CWHvh3/105,NA
2703,CWHvh3/106,NA
2707,CWHvh3/110,NA
2709,CWHvh3/111,Fh
2711,CWHvh3/112,Fm
2715,CWHvh3/113,Fl
2717,CWHvh3/114,NA
2719,CWHvh3/115,NA
2725,CWHvh3/116,SS
2727,CWHvh3/117,NA
2731,CWHvhz/101,NA
2737,CWHvhz/102,NA
2745,CWHvhz/110,NA
2749,CWHvhz/111,NA
2753,CWHvm1/01,NA
2759,CWHvm1/02,NA
2762,CWHvm1/03,NA
2768,CWHvm1/04,NA
2772,CWHvm1/05,NA
2776,CWHvm1/06,NA
2782,CWHvm1/07,NA
2786,CWHvm1/08,NA
2790,CWHvm1/09,Fh
2798,CWHvm1/10,Fm
2802,CWHvm1/11,Fl
2804,CWHvm1/12,NA
2808,CWHvm1/13,NA
2810,CWHvm1/14,NA
2813,CWHvm2/01,NA
2819,CWHvm2/02,NA
2822,CWHvm2/03,NA
2828,CWHvm2/04,NA
2832,CWHvm2/05,NA
2836,CWHvm2/06,NA
2839,CWHvm2/07,NA
2843,CWHvm2/08,NA
2847,CWHvm2/09,NA
2851,CWHvm2/10,NA
2853,CWHvm2/11,NA
2856,CWHvmy/101,NA
2862,CWHvmy/102,NA
2870,CWHvmy/110,NA
2874,CWHvmy/111,NA
2878,CWHvmz/101,NA
2884,CWHvmz/102,NA
2892,CWHvmz/110,NA
2896,CWHvmz/111,NA
2900,CWHwh1/101,NA
2905,CWHwh1/102,SS
2906,CWHwh1/102,NA
2914,CWHwh1/103,SS
2922,CWHwh1/104,SS
2928,CWHwh1/105,NA
2932,CWHwh1/110,NA
2935,CWHwh1/111,NA
2939,CWHwh1/112,Fh
2941,CWHwh1/113,Fm
2945,CWHwh1/114,Fl
2947,CWHwh1/115,NA
2949,CWHwh1/116,NA
2951,CWHwh1/117,SS
2953,CWHwh1/118,NA
2959,CWHwh2/101,NA
2974,CWHwh2/110,NA
2978,CWHwh2/111,NA
2981,CWHwh2/112,NA
2986,CWHwhz/101,NA
2992,CWHwhz/102,NA
3000,CWHwhz/110,NA
3004,CWHwhz/111,NA
3008,CWHwm/01,NA
3014,CWHwm/02,NA
3020,CWHwm/03,NA
3025,CWHwm/04,NA
3029,CWHwm/05,Fh
3033,CWHwm/06,Fm
3037,CWHwm/07,Fl
3043,CWHwm/08,NA
3048,CWHwm/09,NA
3054,CWHwm/10,NA
3056,CWHws1/01,NA
3060,CWHws1/02,NA
3063,CWHws1/03,NA
3069,CWHws1/04,NA
3074,CWHws1/05,NA
3078,CWHws1/06,NA
3082,CWHws1/07,Fh
3087,CWHws1/08,Fm
3091,CWHws1/09,Fl
3094,CWHws1/10,Fl
3096,CWHws1/11,NA
3099,CWHws2/01,NA
3105,CWHws2/02,NA
3108,CWHws2/03,NA
3114,CWHws2/04,NA
3118,CWHws2/05,NA
3124,CWHws2/06,NA
3128,CWHws2/07,Fh
3136,CWHws2/08,Fm
3140,CWHws2/09,Fl
3143,CWHws2/10,NA
3145,CWHws2/11,NA
3148,CWHxm1/01,NA
3154,CWHxm1/02,NA
3157,CWHxm1/03,NA
3163,CWHxm1/04,NA
3167,CWHxm1/05,NA
3171,CWHxm1/06,NA
3177,CWHxm1/07,NA
3181,CWHxm1/08,Fh
3185,CWHxm1/09,Fm
3189,CWHxm1/10,Fl
3193,CWHxm1/11,NA
3195,CWHxm1/12,NA
3198,CWHxm1/13,FWT
3200,CWHxm1/14,FWT
3202,CWHxm1/15,FWT
3204,CWHxm2/01,NA
3210,CWHxm2/02,NA
3213,CWHxm2/03,NA
3219,CWHxm2/04,NA
3223,CWHxm2/05,NA
3227,CWHxm2/06,NA
3233,CWHxm2/07,NA
3237,CWHxm2/08,Fh
3241,CWHxm2/09,Fm
3245,CWHxm2/10,Fl
3249,CWHxm2/11,NA
3251,CWHxm2/12,NA
3254,CWHxm2/13,FWT
3256,CWHxm2/14,FWT
3258,CWHxm2/15,FWT
3260,CWHxmy/101,NA
3266,CWHxmy/102,NA
3274,CWHxmy/110,NA
3278,CWHxmy/111,NA
3282,CWHxmz/101,NA
3288,CWHxmz/102,NA
3296,CWHxmz/110,NA
3300,CWHxmz/111,NA
3304,ESSFab/a,NA
3309,ESSFab/b,NA
3316,ESSFab/c,NA
3321,ESSFab/d,NA
3327,ESSFab/e,NA
3333,ESSFab/f,NA
3339,ESSFab/g,NA
3344,ESSFab/h,NA
3348,ESSFab/i,NA
3353,ESSFcoz/00,NA
3393,ESSFdc1/101,NA
3397,ESSFdc1/102,NA
3401,ESSFdc1/103,NA
3404,ESSFdc1/110,NA
3407,ESSFdc1/111,NA
3413,ESSFdc1/112,NA
3416,ESSFdc2/01,NA
3422,ESSFdc2/02,NA
3430,ESSFdc2/03,NA
3439,ESSFdc2/04,NA
3451,ESSFdc2/05,NA
3463,ESSFdc2/06,NA
3471,ESSFdc2/07,NA
3479,ESSFdc2/08,NA
3485,ESSFdc2/09,NA
3488,ESSFdc3/01,NA
3494,ESSFdc3/02,NA
3502,ESSFdc3/03,NA
3511,ESSFdc3/04,NA
3523,ESSFdc3/05,NA
3535,ESSFdc3/06,NA
3543,ESSFdc3/07,NA
3551,ESSFdc3/08,NA
3557,ESSFdc3/09,NA
3560,ESSFdcp/00,NA
3600,ESSFdcw/101,NA
3604,ESSFdcw/102,NA
3608,ESSFdcw/103,NA
3611,ESSFdcw/110,NA
3614,ESSFdcw/111,NA
3620,ESSFdcw/112,NA
3623,ESSFdhz/101,NA
3629,ESSFdhz/102,NA
3633,ESSFdhz/103,NA
3637,ESSFdhz/110,NA
3641,ESSFdhz/111,NA
3645,ESSFdk1/101,NA
3648,ESSFdk1/102,NA
3653,ESSFdk1/103,NA
3656,ESSFdk1/104,NA
3660,ESSFdk1/110,NA
3663,ESSFdk1/111,NA
3669,ESSFdk1/Ro,NA
3672,ESSFdk2/101,NA
3675,ESSFdk2/102,NA
3678,ESSFdk2/103,NA
3682,ESSFdk2/104,NA
3687,ESSFdk2/110,NA
3689,ESSFdk2/111,NA
3692,ESSFdk2/112,NA
3698,ESSFdk2/Ro,NA
3702,ESSFdkp/00,NA
3742,ESSFdkw/101,NA
3748,ESSFdkw/102,NA
3753,ESSFdkw/103,NA
3759,ESSFdkw/110,NA
3763,ESSFdkw/Ro,NA
3766,ESSFdkz/101,NA
3772,ESSFdkz/102,NA
3780,ESSFdkz/110,NA
3784,ESSFdkz/111,NA
3788,ESSFdv1/01,NA
3797,ESSFdv1/02,NA
3804,ESSFdv1/03,NA
3813,ESSFdv1/04,NA
3821,ESSFdv1/05,NA
3836,ESSFdv1/06,NA
3846,ESSFdv2/01,NA
3855,ESSFdv2/02,NA
3862,ESSFdv2/03,NA
3871,ESSFdv2/04,NA
3879,ESSFdv2/05,NA
3894,ESSFdv2/06,NA
3904,ESSFdvp/00,NA
3944,ESSFdvw/01,NA
3953,ESSFdvw/02,NA
3960,ESSFdvw/03,NA
3969,ESSFdvw/04,NA
3977,ESSFdvw/05,NA
3992,ESSFdvw/06,NA
4002,ESSFmc/01,NA
4005,ESSFmc/02,NA
4011,ESSFmc/03,NA
4014,ESSFmc/04,NA
4018,ESSFmc/05,NA
4020,ESSFmc/06,NA
4022,ESSFmc/07,NA
4026,ESSFmc/08,NA
4031,ESSFmc/09,NA
4035,ESSFmc/10,NA
4038,ESSFmcp/00,NA
4078,ESSFmh/101,NA
4081,ESSFmh/102,NA
4084,ESSFmh/103,NA
4087,ESSFmh/104,NA
4091,ESSFmh/105,NA
4094,ESSFmh/110,NA
4098,ESSFmh/111,NA
4104,ESSFmh/112,NA
4107,ESSFmk/01,NA
4110,ESSFmk/02,NA
4119,ESSFmk/03,NA
4123,ESSFmk/04,NA
4127,ESSFmk/05,NA
4132,ESSFmk/06,NA
4136,ESSFmk/07,NA
4140,ESSFmkp/00,NA
4180,ESSFmm1/01,NA
4186,ESSFmm1/02,NA
4188,ESSFmm1/03,NA
4191,ESSFmm1/04,NA
4193,ESSFmm1/05,NA
4196,ESSFmm1/06,NA
4204,ESSFmm1/07,NA
4206,ESSFmm2/01,NA
4216,ESSFmm2/02,NA
4222,ESSFmm2/03,NA
4235,ESSFmm2/04,NA
4245,ESSFmm2/05,NA
4258,ESSFmm2/06,NA
4264,ESSFmm2/07,NA
4266,ESSFmm3/101,NA
4269,ESSFmm3/102,NA
4273,ESSFmm3/103,NA
4276,ESSFmm3/104,NA
4280,ESSFmm3/110,NA
4283,ESSFmm3/111,NA
4287,ESSFmm3/112,NA
4293,ESSFmm3/Ro,NA
4296,ESSFmmp/00,NA
4336,ESSFmmw/01,NA
4342,ESSFmmw/02,NA
4344,ESSFmmw/03,NA
