BGC,DD5
BAFAun,248.526
BAFAunp,407.054
BGdhz,2318.05
BGdwz,2564.418
BGmmx,1542.152
BGmmy,1342.37
BGmmz,2114.214
BGwmz,2033.672
BGxh1,2458.56
BGxh2,2129.736
BGxh3,1891.018
BGxhy,1970.166
BGxhz,2467.544
BGxw1,1541.384
BGxw2,1529.838
BSJPap,1204.238
BSJPku,1091.366
BSJPpa,1224.056
BWBScm,1211.196
BWBSdk,709.826
BWBSdm,1291.69
BWBSlb,1059.26
BWBSlf,1147.212
BWBSmk,1032.266
BWBSmw,1106.27
BWBSnm,1063.568
BWBSpp,1275.056
BWBSub,945.086
BWBSuf,963.408
BWBSvk,864.506
BWBSwk1,889.86
BWBSwk2,867.338
BWBSwk3,762.218
CCH,3911.846
CDFdmz,2432.676
CDFmm,1992.673767
CDFxmz,2548.622
CMAun,401.4779162
CMAunp,466.162
CMAus,627.194
CMAwh,651.66
CMXdmy,3340.434
CMXdmz,2575.706
CMXwmz,2746.678
CRF,3058.11
CVG,4408.128
CWFmsz,1801.118
CWFwmz,2064.15
CWFwsz,1950.432
CWHdm,1850.252
CWHdmx,2088.56
CWHdmz,1899.006
CWHds1,1652.978
CWHds2,1397.182
CWHdsz,1379.909091
CWHmhz,2208.288
CWHmm1,1460.748
CWHmm2,1205.098
CWHms1,1165.134
CWHms2,1409.552
CWHmsy,1331.366
CWHmsz,1150.816733
CWHvh1,1550.712
CWHvh2,1304.462
CWHvh3,1200.702
CWHvhz,1896.696842
CWHvm1,1488.412
CWHvm2,1120.982
CWHvmy,1452.091644
CWHvmz,1383.58
CWHwh1,1304.096
CWHwh2,960.194
CWHwhz,1919.044
CWHwm,1047.65
CWHws1,1369.656
CWHws2,978.116
CWHxm1,1879.364
CWHxm2,1622.678
CWHxmy,2217.564
CWHxmz,2212.958
ESSFab,651.59
ESSFcoz,719.974
ESSFcozp,607.754
ESSFdc1,794.036
ESSFdc2,776.594
ESSFdc3,805.916
ESSFdcp,474.144
ESSFdcw,581.42
ESSFdhz,1008.072581
ESSFdk,779.3802817
ESSFdk1,792.232
ESSFdk2,701.278
ESSFdkp,422.5778986
ESSFdkw,512.442
ESSFdv1,623.528
ESSFdv2,565.44
ESSFdvp,326.04
ESSFdvw,440.5
ESSFmc,606.646
ESSFmcp,392.988
ESSFmh,1016.74
ESSFmk,683.512
ESSFmkp,489.45
ESSFmm1,698.342
ESSFmm2,778.958
ESSFmm3,718.54
ESSFmmp,431.732
ESSFmmw,502.99
ESSFmv1,685.738
ESSFmv2,690.968
ESSFmv3,564.648
ESSFmv4,596.826
ESSFmvp,375.17
ESSFmw,660.606
ESSFmw1,834.418
ESSFmw2,741.732
ESSFmwp,405.44
ESSFmww,577.242
ESSFmwz,798.222
ESSFmwzp,589.4166667
ESSFun,561.144
ESSFunp,400.466
ESSFutz,759.334
ESSFutzp,669.3225806
ESSFvc,889.148
ESSFvcp,460.282
ESSFvcw,642.506
ESSFvmz,1113.992
ESSFwc2,801.708
ESSFwc3,595.942
ESSFwc4,781.71
ESSFwcp,452.48
ESSFwcw,576
ESSFwh1,960.378
ESSFwh2,951.958
ESSFwh3,976.242
ESSFwhz,1050.704348
ESSFwk1,819.152
ESSFwk2,725.174
ESSFwm1,804.204
ESSFwm2,739.382
ESSFwm3,743.826
ESSFwm4,862.004
ESSFwmp,516.5097765
ESSFwmw,571.006
ESSFwmz,910.814
ESSFwv,604.582
ESSFwvp,429.072
ESSFxc1,643.428
ESSFxc2,669.99
ESSFxc3,547.484
ESSFxcp,383.456
ESSFxcw,471.618
ESSFxcy,909.3318182
ESSFxcyp,667.26875
ESSFxcz,740.028
ESSFxczp,478.8677686
ESSFxhz,1127.56
ESSFxmy,990.4285714
ESSFxmz,816.928
ESSFxv1,499.61
ESSFxv2,469.248
ESSFxvp,337.6
ESSFxvw,421.182
ESSFxxz,756.584
ESSFxxzp,705.284
FGdm,1718.732
FGff,1400.166
FGmg,1582.13
FGnf,1502.394
GBDxxw,3237.178
GBDxxx,2222.696
GBDxxy,2397.232
GO,1672.014
ICHdhz,1607.038
ICHdk,1140.53
ICHdm,1209.146484
ICHdmz,1277.259434
ICHdw1,1658.63
ICHdw3,1433.496
ICHdw4,1718.996
ICHdwz,1501.088
ICHmc1,984.202
ICHmc1a,1121.8
ICHmc2,1198.914
ICHmk1,1204.212
ICHmk2,1147.662
ICHmk3,1144.788
ICHmk4,1169.712
ICHmk5,1144.232
ICHmm,1108.898
ICHmw1,1210.756
ICHmw2,1422.082
ICHmw3,1406.122
ICHmw4,1263.31
ICHmw5,1285.646
ICHmwy,1230.902597
ICHmwz,1487.731707
ICHvc,957.45
ICHvk1,1179.724
ICHvk2,1045.776
ICHwc,928.062
ICHwk1,1225.846
ICHwk2,1169.496
ICHwk3,1105.828
ICHwk4,1059.596
ICHxw,1835.233
ICHxwa,2016.448
IDFcow,1462.398
IDFcoz,1348.682
IDFdc,1165.78
IDFdhy,1856.544
IDFdk1,1085.182
IDFdk2,1225.538
IDFdk3,1126.866
IDFdk4,987.584
IDFdk5,1381.548
IDFdky,1368.990385
IDFdm,1655.230769
IDFdm1,1453.614
IDFdm2,1533.48
IDFdmy,1335.024229
IDFdmz,1502.854
IDFdw,957.16
IDFdxz,1261.894
IDFmw1,1671.186
IDFmw2,1594.496
IDFutz,1468.436
IDFww,1531.446
IDFww1,1696.966
IDFxc,1649.304
IDFxh1,1679.946
IDFxh2,1427.32
IDFxh4,1817.76
IDFxhy,1783.694
IDFxhz,1729.928
IDFxk,1574.85
IDFxm,1327.368
IDFxw,1404.722
IDFxx,1820.125
IDFxx2,1676.386
IDFxxy,2001.32967
IDFxxz,1521.426
IDFxyz,1734.768546
IGFdmz,1405.762
IGFmmz,1485.438
IGFmwz,1643.456
IMA,477.098
IMAab,402.608
IMAun,262.41
IMAunp,455.94
IWFdcz,1435.402
IWFnvy,1230.920168
JPWcop,2077.732
JPWcow,2813.055556
JPWgbz,2112.958
JPWsrm,1822.872
JPWwy,1790.694
JPWwyp,1483.482
MDCH,3210.333333
MGP,2011.406
MHdmz,1017.844
MHdsz,915.0397351
MHmm1,880.444
MHmm2,709.82
MHmmp,583.9046763
MHmmz,996.342
MHmsz,823.118
MHmszp,582
MHun,669.566
MHunp,455.014
MHwh,810.452
MHwh1,907.038
MHwhp,790.586
MHRFmmz,1454.834
MHRFmsz,1320.174
MHRFmszp,1033.962
MHRFwmz,1127.474
MHRFwmzp,777.5
MSab,986.51
MScoa,1047.998
MScow,976.536
MSdc1,883.854
MSdc2,687.618
MSdc3,756.262
MSdk,1079.46
MSdm1,1068.83
MSdm2,967.414
MSdm3,1041.704
MSdmz,1220.443946
MSdv,657.79
MSdw,1143.144
MSdwz,1136.81
MSmw1,1070.042
MSmw2,1034.354
MSnvz,1224.902
MSutz,1240.714
MSxcy,1227.022989
MSxk1,877.71
MSxk2,859.744
MSxk3,727.49
MSxkz,1057.248485
MSxmz,1035.572
MSxv,642.096
MSxxy,1306.128514
MSxxz,981.914
MSSD,4601.854
OW,3989.9
PPcoz,1982.706
PPdxz,1956.577295
PPorz,1592.296
PPpum,1388.844
PPwy,1968.386
PPxh1,2093.766
PPxh2,1864.814
PPxh3,1977.024
PPxhz,2098.344
PPxxz,2096.396
PPxyz,2015.984
SASbo,807.81
SBAPcp,1399.27
SBAPfp,1172.516
SBPSdc,966.33
SBPSmc,845.356
SBPSmk,969.574
SBPSxc,843.282
SBSdh1,1326.734
SBSdh2,1080.29
SBSdk,1008.364
SBSdw1,1198.376
SBSdw2,1130.464
SBSdw3,1096.966
SBSmc1,913.54
SBSmc2,861.044
SBSmc3,840.816
SBSmh,1452.124
SBSmk1,984.028
SBSmk2,981.616
SBSmm,918.916
SBSmw,1152.678
SBSun,861.188
SBSvk,1027.386
SBSwk1,1045.476
SBSwk2,913.396
SBSwk3,881.386
SBSwk3a,928.218
SGP,2700.622
SWBmk,557.23
SWBmks,379.734
SWBun,504.334
SWBuns,395.136
SWBvk,605.764
SWBvks,412.5911824
WJP,1773.094
